,Text,Summary
33692,kenyan delegation has agreed with the international criminal court to set up tribunal by july to prosecute those who instigated last devastating residents of nairobi slum shout during clashes between two rival groups in january,violence after december elections nearly tore kenya apart
91668,the dalai spiritual set off media kerfuffle this month when he spoke about his next not man afraid to surprise he told two german journalists that he see need for there to be more dalai lamas in the,dalai comments about his next reincarnation set off media kerfuffle
86002,serena williams underlined her status as the overwhelming favorite for the open title with crushing win over carla suarez navarro in the quarterfinals of the new york grand the defending bidding for fifth singles triumph at flushing beat the spanish world to become the first woman since martina navratilova in to win open quarterfinal without losing,serena williams beats carla suarez navarro at the open
27538,do you find yourself enviously clicking through pictures of celebrity homes on your lunch instead of turning green over the estates of george clooney or brad and why not follow their plan your own getaway in place where the stars have found far from the to make yourself at home least in your own private contact local rental agencies or do your own research on sites such as or choose lower priced hotel option and simply savor the same scenery that the stars once you feel free to pretend paparazzi are hiding around every corner in hope of snatching candid of in all your,afford second sample the good life with rental
75669,sitting in front of the tv on watched in horror as the death toll climbed with each news report coming in on the mass shooting in an elementary school in the magnitude of the shooting shocked it also took me back to five years when received phone call on blustery april morning that changed my life was out and my cell phone had rung several but had chosen to ignore the answered the third which came in at my daughter then sophomore at virginia was on the she been,lori the magnitude of the newtown shooting shocked me
18042,in just few rebels have transformed themselves from ragtag village defense forces into an armed movement capable of attacking the two largest aleppo and now they are bracing themselves for what one syrian newspaper has called mother of all,is now the flashpoint of the civil war
39802,martin told reporters in iowa on friday that inevitability term bandied about regarding democratic presidential frontrunner hillary clinton is not seen it the former governor of maryland and possible presidential contender is full of examples where the inevitable frontrunner was inevitable right up until she was no longer or he was no longer,he made the statement before in march
41581,dubai police monday identified people suspected in the killing of top hamas official last month and vowed hunt them at the same police offered chilling scenario of how mahmoud founding member of military wing who had survived at least three other previous attempts on his was killed in his hotel room january just hours after arriving in united arab,senior hamas mahmoud was killed in dubai january
73808,rioting near the northwestern chinese city of kashgar on tuesday left people according to official xinhua news the news agency said that people were killed in riots in the restive xinjiang province and police shot dead further two people in the,xinhua news agency reports killed in rioting near kashgar
64875,crew member aboard freighter seized by pirates off east africa said wednesday that the crew had captured one of four pirates who hijacked their but they released him in failed hostage shane murphy is one of the crew members on board the ship that was hijacked off,maersk alabama eluded pirates for more than three hours
70393,next the vidalia onion georgia group that promotes the consumption of sweet will roll out cardboard cutouts of the ogre shrek as to the latest film in the forever in the growers group hopes the green guy will turn children on to eating vidalia,vidalia onion committee to place cutouts of shrek in grocery stores
2978,pirates have hijacked tanker that sailed under saudi authorities said the pirates struck in the gulf of body of water between somalia and the european union naval force said in,vessel hijacked in gulf of aden on monday
32436,while president barack obama said he is committed to withdrawing all troops from afghanistan by leaving local security forces in charge of their own the newly elected afghan president said obama should his concentrate the but deadlines should not be president ashraf ghani told,afghan president ashraf ghani says progress is
30671,the body may be constructed from drainage pipes and the hatch from recycled but according to its this can plunge to depth of feet and has already completed three successful the nautilus took high school inventor justin beckerman just six months and to put together all while keeping on top of his,mendham high school student justin beckerman builds submarine
62039,disastrous blunder by england goalkeeper robert green cost his side victory as they drew with the united states in their group opener in rustenburg on saturday england were leading through fourth minute steven gerrard goal approaching halftime when clint dempsey sent in weak shot from just outside the penalty,england and united states draw in their group opener in rustenburg
21787,time recent cover story featuring jamie lynne grumet breastfeeding her almost son raised firestorm about different styles of along with the headline you mom the piece makes every mother question whether she should practice attachment parenting and in the embrace all things wear your make your own baby sleep with your give birth at home and use like the radiant and married woman on many mothers who embrace natural mothering are likely to be middle fit and they take motherhood as seriously as they take their education and which is not bad the kids will surely,time magazine published controversial article about attachment parenting
34313,peruvian soccer star paolo guerrero has been punished with record fine by his german club hamburg for throwing water bottle into the face of fan who he claimed had insulted the striker made public apology on but could face further disciplinary action from the german football association on,paolo guerrero hit with record fine for throwing water bottle into the face of fan
73726,police in said late monday that they have made an arrest in connection with at local zoo and the death of patas monkey michael faces two felony burglary and grand,michael faces two felony burglary and grand theft
57841,space shuttle atlantis launched monday afternoon to deliver key spare parts to prolong the life of the international space the shuttle lifted off as at et from the kennedy space center near cape,the space shuttle atlantis blasted off monday on schedule at et
28233,pirates who hijacked crude oil tanker off the coast of kenya are approaching somali the navy an undated photo of the sirius star in south korean,hijacked super tanker heading towards port in navy says
59613,major league umpires are all over the news after spate questionable calls throughout this despite larger postseason umpiring crews that include two extra umps in the it feels like an inordinate number of calls have gone the wrong all of these gaffes have prompted renewed debate about whether baseball should start using instant how could umps blow this many calls that are so obvious when viewed in slow these guys trained are they handsomely what do we really know about the men in,nfl ref makes from to working mostly sundays
87247,seen the headlines this ice storm hits the snow storm heads toward east if you live southeast of the weather bulletins about ice and snow have been almost impossible to avoid the past few but as scary as they few realize it could be whole lot more,mike smith says that advances in weather science have made forecasting much better
63665,turns out putting dwayne johnson into the lead role is good idea to keep franchise retaliation soldiered into the top spot over easter piling up million over three days and bringing the cume to retaliation quite set the record for easter weekend those bragging rights belong to clash of the titans and it quite match the opening of rise of the million bow in but johnson and channing starpower helped keep the attrition from the poorly received cobra to the overseas figures are far bringing retaliation to healthy million global roughly matching the million budget for not the action pic attracted percent male crowd who gave it strong also having good friday and good run in general was animated stone age comedy the which grossed domestically in its second weekend and sailed past the million mark internationally for total of tyler perry turned far away from madea with his steamy thriller which paid off for lionsgate with voluptuous starring friday night jurnee and kim who brought the film outsize media temptation reach the heights of big happy family opened or why did get married which were both but it did outperform industry tyler name still means even if precedes the full title confessions of marriage the ninth perry film to debut over the only other directors to have reached that distinction are steven spielberg and robert,pulled in million over three days
26937,since the millennium development goals were launched in the world has made tremendous gains in reducing new hiv infections and helping people with hiv to live longer and healthier for long efforts to ensure that pregnant woman living with hiv would not pass the virus to her child during at or during breastfeeding have lagged behind the promise of but now we can say confidently that with the right we can reduce new hiv infections among children to even within the short time remaining until the millennium development goals are concluded at the end of,jeffrey michel the world has made big gains in reducing new hiv infections
3899,robin an american woman who has helped thousands of poor indonesian women have healthy pregnancy and was named the cnn hero of the year on sunday through her bumi sehat health or as she is called by the offers free prenatal birthing services and medical aid in where many families cannot afford,robin lim was named the cnn hero of the year on sunday night
67493,wealthy nigerians used to travel abroad to get their fix of luxury however these they can take stroll around victoria an exclusive neighborhood in lagos where brands like hugo boss and ermenegildo zegna line the,the city with most multimillionaires in africa is johannesburg
90860,former basketball star dennis rodman arrived in pyongyang tuesday on visit amid speculation he may try to negotiate the release of jailed citizen kenneth xinhua news agency in the gateway for flights to rodman told reuters he was on another diplomacy and would not be discussing the release of,former basketball star dennis rodman arrives capital of north korea
88706,adly interim is reviewing proposed protest law approved by the cabinet that has drawn the ire of human rights groups and political state media reported wednesday the measure would have tight,the proposed law would restrict abilities to conduct protests in egypt
46511,former one direction member zayn malik spoke for the first time since leaving the group this week and said sorry for the pain feel like let the fans but do this he told the outlet the not that turned my back on them or just that just do that because not the real,zayn malik says that being in one direction was the real
92495,last the world celebrated the birth of its newest nation as south sudan officially separated from the it was hoped then that after decades of the people of of both nations would finally know but just few months refugee camps are filling to the brim as fighting in the border states of southern kordofan and blue nile has intensified and displaced more than,fighting in two border states has intensified and displaced thousands
22835,federal magistrate has refused request from lawyers for the surviving boston marathon bombing suspect that would allow them to take and photographs of which would have been kept from the in an order on magistrate judge marianne bowler said dzhokhar request to establish that future photographs are subject to the attorney client,lawyers for dzhokhar tsarnaev wanted to take photos of him while in custody
24405,the leader of extreme right wing golden dawn party and four party lawmakers were charged sunday with forming and participating in criminal nikos michaloliakos and the other four all members of parliament left the athens office in escorted by counterterrorism officers in bullet proof vests and,party leader nikos michaloliakos and others face charges of forming criminal gang
61310,the united states metes out certifications to other countries for their cooperation on drug but as the nation with the biggest demand for illegal who evaluates the united bolivian president evo morales posed that question in an interview with cnn en reiterating recent comment that drew relations between bolivia and the united states are at low point as the morales government accuses the united states of trying to destabilize while the united states counters that bolivia is dropping the ball in the fight against,bolivian president evo morales says the discredits his country
26203,the may finally be ditching its topless page models after all these last print edition of the sun was the last to feature ending one of british most controversial traditions after according to the the sister,the times reports that the sun is dropping topless page models after years
75736,woman approached me as was rushing toward the metro after giving talk on rape in syria last she asked in low voice if she could share some she had she on them were testimonies of syrian women been in daughter and sister all in one in taxi recently en route to heathrow was told another startling the driver turned to me and am and have story to tell you that keep wishing is not,lauren rape is weapon that destroys communities
1283,california woman was abducted from male residence in the bay area and is being held for police said the male also witnessed the kidnapping of denise louise huskins from the vallejo and he is not suspect in the said vallejo police kenny,denise works as physical therapist at kaiser cnn affiliate kgo reports
1225,the numbers tell small part of the eight dead in bomb the names that police have released so far reveal little anne lise tove ashill hanna orvik kai,johan christian tandberg was at the scene when bomb went off
55739,dubai could lose its place on the tennis association tour calendar after israeli shahar peer was denied entry to compete at this the wta supremo warned shahar peer told cnn she learned of her visa ban just before her scheduled flight to,israeli tennis player back in tel aviv after being denied entry for dubai event
19472,chinese police intercepted more than crocodiles last week that were destined for dinner plates in the guangdong the siamese crocodiles were seized tuesday in the guangxi zhuang autonomous region after they crossed over the according to reports in the chinese xinhua news,chinese police intercepted more than crocodiles near border
17064,when ethan stacy was reluctantly sent off to spend the summer with his mother late last he was in effect being given death the child never had he was dead within two weeks of arriving at the apartment in where his mother lived with her,bob died on custody visit to mother and her boyfriend
32124,one of four hong kong women struck down with septic shock after receiving treatment normally given to cancer patients has the died wednesday morning at local hospital one week after receiving therapy through the dr beauty local authorities,dies at local hospital one week after receiving therapy
30762,judge walks out of bar when the new jersey supreme court decided that vincent august sicari must choose between his career as municipal judge and his other career in the entertainment he decided it yet the time to have last,vincent august sicari held down two careers one as the other as judge
84340,anat hoffman had no idea who comedian sarah silverman was until sister and niece were detained with her sunday in jerusalem for wearing prayer shawls as they prayed at the western police detained women for religious act contrary to the local the group of who call themselves the women of the went to pray in jewish shawls known as tallitot that israeli law says only jewish men can wear,women were detained for religious act contrary to the local
48308,high taxes and political indecision are hindering the economic the head of general electric has told in an exclusive jeff chief executive of one of the largest said he wanted the tax structure,the has one of the highest corporation tax rates in the world at
39678,indianapolis winner dario franchitti was injured in serious crash that also left spectators hurt during grand prix of authorities the wreck occurred in the last lap of the when japanese driver takuma sato bumped sending it airborne into the protective the car spun multiple times against the sending shards of debris flying toward the grandstands and shearing off part of its,franchitti suffers fractures to spine and ankle in the wreck
90165,for those who hoped that the coming presidential election would usher in the dawn of more inspiring this past week has been deeply in two key leaders from both sides of the aisle have acted like the bourbons of who famously remembered nothing and forgot nothing from battles of their the first and substantively more important moment was the sending of that letter by republican senators to the iranian the and perhaps more important politically telling was hillary handling of her,david iran almost certain to become big issue in campaign
65658,americans are in period of amazingly negative thinking about the state of our recent gallup analysis drove home how deep and how threatening the current mood,newt gingrich is concerned about poll showing americans have little faith in government
79124,during london mayor boris recent visit to dubai on an investment promotion he jokingly declared that he is of the eighth though uttered in typical the mayor of the greatest city proclaiming that london is mere province of the united arab emirates is revealing about how fortunes have revived since the punishing real estate crash and debt restructuring following the financial with the uk economy slumping so severely that the imf has recommended it reconsider its austerity johnson has to look abroad to maintain economic he particularly appealed to the sovereign wealth funds as the abu dhabi investment authority and to invest in underground subway upgrades that emiratis are regulars on the since they often ship their supercharged italian sports cars to london for the summer,fortunes have revived since real estate crash and debt restructuring
7230,hundreds of excited music fans wait in line on the lookout for their favorite singers on hit television elaha sorur was the lone female finalist on this the answer to,is version of
61976,seeking to make the world of autism little members of the international diplomatic community gathered friday at the united nations world focus on ban wife of secretary general ban addresses the autism,ban calls for society as whole to become more involved
17260,an unopposed former communist leader was elected new prime minister ending nearly three weeks of political madhav kumar nepal waves at his supporters at the parliament in,madhav kumar nepal of the communist party of nepal was only candidate
87571,back in the summer of alternative rock bible spin published cover story called the world needs now is axl even though he produced but single song in over five years awful my which appeared on the soundtrack to the schwarzenegger satan movie end of all these years and one seriously anticlimactic chinese democracy the unpredictable axl still kept fans and the media at length by giving hardly any print let alone televised but that all is going to change on october when he appears on kimmel for his first live broadcast interview in more than two,axl rose will appear live for the first time in years on kimmel
37697,helicopter crashed during takeoff from kandahar airfield in southern afghanistan on killing nato marines participate in operation saturday to push taliban out of,civilian contracted helicopter crashes during takeoff in nato says
84090,america will be too fat to forget about rampant heart attacks and joint problems the scariest consequence arising out of our losing battle with the bulge is the safety of our,in few the military will be unable to recruit enough qualified soldiers because of obesity problem
78691,an american citizen has been detained in north korea for more than officials said the government does not believe that kenneth who has traveled to north korea several times is being official told bae has been involved with protestant religious the official,tour operator has been held in north korea for more than officials say
10680,student december media literacy question of the day,use the weekly newsquiz to test your knowledge of stories you saw on cnn student news
14312,while architect philip freelon imagined designs for new national center for civil and human he did the usual research into the scanning images of the civil rights marches and protests it would surely around the same he help but notice the front pages of modern newspapers that showed protesters around the world resolutely fighting their own they were in different different but he saw the same people their arms interlocked or fingers woven,the national center for civil and human rights opens in atlanta on monday
83180,thanks to several overreaching court including the most the supreme disastrous citizens united the past five years have given us whole new understanding of corporate power and its intersection with political the price tag for elections continues to steadily candidates and outside groups are closing in on billion spent in the federal election and even according to the center for responsive undisclosed money has made up million of that,lisa more than million have commented on sec regulation of political spending
59497,two michael adebolajo and michael were found guilty thursday of the murder of british soldier lee rigby near military barracks in southeast london in their slaying of whom they mowed down and hacked to death in the full view of horrified onlookers in the woolwich shocked the,relatives say lee rigby has been taken away from but his memory lives on
23521,ready for little more turnover in the peacock is apparently in early discussions with alec baldwin to host talk show that would possibly air at real estate that is currently occupied by call with carson according to the new york source tells ew that the proposed program could be tom intimate interview talk nbc declined to,nbc is apparently in early discussions with alec baldwin to host talk show
22045,that was an interesting on google alerts brought me piece of startling lawyer speaking to tribunal of the supreme court of pakistan had accused me of acting as paid agent of the government of,david lawyer in pakistan accused him of being paid agent of that country
14532,at age denzel washington may have something the oscar winner added to his string of successes this weekend with which had no equal at the box opening with an estimated million in ticket,denzel makes an estimated million
74107,joe ledley scored the only goal of the game as celtic beat rangers in the old firm derby clash wednesday the welsh international netted with minute header as his team took over from their arch glasgow rivals at the top of the scottish premier,celtic beat rangers in old firm clash at parkhead
36095,when an tornado touched down in this tad agoglia and his first response team of america were stationed at hotel about miles ready to take about two hours after the storm they were already on the scene using their specialized equipment to dig through the rubble at plaza towers elementary,trio of cnn heroes are helping the recovery efforts in oklahoma
39797,many including president have become fans of the netflix series of the starting kevin spacey and robin is the story of the house majority whip through many devious becomes vice president of the united the show presents devastating portrait of the capital in which the major players care only about advancing their,julian netflix show depicts washington in which power is used ruthlessly
1757,cleveland man was indicted thursday in the killings of two cases that were resurrected after the discovery of three women held captive for years by ariel elias acevedo was charged with including aggravated rape and said timothy the cuyahoga county,elias has been charged with including rape and murder
16942,frank hall insists just football coach and study hall not but what else do you call someone as students crouched for cover and ran for their lives after bullets rang out in the chardon high school ran at the who kept on chasing out the door of the ohio during which witnesses reported another shot being and after all headed back into the cafeteria to comfort the,frank hall chased an ohio school gunman from the witnesses say
56806,new jersey robert menendez felt sick after reading the white house says it is to proposal for syria to hand over chemical russian president vladimir direct appeal to the american people over the syria crisis has prompted flurry of commentary in but do his claims stack we take look at some of the most contentious claims in new york times opinion,russian president makes appeal to american people in new york times
55070,amid rumors that he cheated on wife tori actor and former reality show star dean mcdermott says entered who starred in home sweet with his wife and their provide details about what sort of treatment,dean am truly sorry for the mistakes made and for the pain caused my
79413,salt of the turks islands in the is the only place been told to keep to the left because livestock has right of also the only place where had to wave down passing,conch festival takes place on november on providenciales island in turks and caicos
14134,for adam movie comedy is rock roll not just way to make people but way to strike pose of scruffy at still playing overgrown but his characters these days just emotionally stunted basket jerks and rubes and loutish the more hideously unpresentable the,adam sandler plays character donny berger with conviction
52295,business and labor negotiators working to hammer out deal on an immigrant guest worker program have reached broad source familiar with the talks said eliminating one major hurdle to legislation revamping the immigration business leaders and labor groups had been working to develop plan on guest tackling major sticking points on how much workers would be paid and the number of workers that would be allowed into the country each,broad agreement reached on guest worker source says
69567,an english soccer club has abandoned an attempt to sign convicted rapist after death threats were made to its staff amid an atmosphere of after days of oldham athletic confirmed thursday it be handing deal to ched who was released from prison in october after serving half of sentence for raping,oldham athletic confirms deal to sign ched evans is off
86399,if famous and performing the american national be prepared to become national hero or national facts are just ask jimi and,singing the national anthem is risky proposition
18484,oscar pistorius will go on trial on march accused of premeditated murder in the death of his reeva at hearing prosecutors indicted pistorius in the day shooting pistorius has been charged with planned and premeditated which comes with mandatory sentence of life behind,oscar pistorius is indicted in day shooting death
18306,the modern olympics in their seen the and of numerous world long jump world record held until,long bob beamon flies into the history books in mexico city
62561,at least people were killed and wounded in suicide car bombing targeting national reconciliation conference in an interior ministry official told abu ghraib attack victim in yarmouk hospital in amjad hameed,killed in suicide bombing at reconciliation conference in baghdad
41193,let me explain to you why important that have machine gun capable of firing rounds per minute bolted to the top of my live in you do know that this is dangerous guy know got mugged last not only entirely possible that while going around the commando team of taliban fighters could come up behind me on their way to murder the and the only thing standing between them and disaster will be not to mention that this one after cut guy off because he was in my blind he gave me really dirty if had had my you can bet he would have stayed good distance,paul ok if drive around with machine gun on my live in dangerous city
85935,south president has written to more than government officials and eight foreign governments in an attempt to recover billion lost to funds are the government of the republic of south sudan will grant amnesty and keep your name president salva kiir said in the which was dated may and sent to former and current,president kiir writes to former and current officials seeking money lost to corruption
79931,hundreds of residents of an area contaminated by catastrophic reactor meltdown at nuclear plant in northeastern japan have been allowed to return home three years after the an evacuation declared in the aftermath of devastating tsunami that crippled the nuclear plant in was lifted at midnight on monday from the miyakoji district of tamura city in fukushima,evacuation zone near stricken fukushima daiichi nuclear plant lifted
49235,they will say this is about one it is,lz todd comment offers glimpse into some views
27218,the festival that launched foursquare and popularized so even if never heard of the sxsw interactive festival short for by but if you want to be completely beyond you can call it your ears should perk up for some big tech news this week as this conference gets under way in,the south by southwest interactive festival starts friday
11138,attorney general eric holder on monday announced justice department program to try to thwart recruitment by extremist groups such as attempting to involve social and mental health workers as well as religious leaders and police to spot radicalization this effort is an outgrowth of existing community outreach programs that in recent years have linked justice department the fbi and the department of homeland security with imams and local organizations hoping to prevent young people from joining terror,justice department effort will try to involve community to spot radicalization early on
73461,former longtime ruler hosni mubarak was cleared of charges in retrial saturday and could soon be released stunning reversal for man who faced life imprisonment or worse after revolution toppled him in cairo judge dismissed charges linking mubarak to the deaths of hundreds of protesters during the revolt and found him not guilty of,mubarak tells egyptian tv commit
46154,manchester united secured their first victory in this uefa champions league with an unconvincing victory against romanian side otelul galati at the national stadium in after tepid first period the game burst into life in the second half with string of penalties and red cards following handball by the galati defender sergiu,manchester united beat romanian side otelul galati
65219,american webb simpson has spoken about his delight at securing his first pga tour victory at the wyndham championship in his native north who caddied for his compatriot neal lancaster at event ahead of the greensboro tournament when he was finished on clear of george,webb simpson clinched his first pga tour title at the wyndham championship
90828,he moves grown men to entrances millions with his footwork and sparks delirious celebrations from adoring fans and now lionel messi has become famous latest takashi murakami portrait of the barcelona great sold for at charity auction in london,takashi messi and universe of sells for
63078,despite all the ellen pompeo is not retiring from not the idea of pompeo leaving the business was raised during buzzfeed brews session when the star said have strong desire to continue to after the series,ellen pompeo is considering leaving acting once is done
86109,lindsay lohan faces new criminal charges in filed just hours after the actress was arrested in new york in connection with an alleged early morning fight at latest legal troubles could send her back to jail because she is on probation for necklace theft,victim of someone trying to capture their minutes of lawyer says
22224,serena williams was forced to pull out of the madrid open with thigh injury ahead of her quarter final tie with petra kvitova the withdrawal will come as blow to the world preparations for the french open with the second major beginning in two,thigh injury has forced serena williams to withdraw from the madrid open
40076,the maker of peanut butter linked to nationwide outbreak of salmonella shipped tainted product it knew had tested positive for the the food and drug administration said the peanut corporation of america found salmonella in its plant in the fda,recall expanded to include products from january
69553,spate of suicides at france telecom has put the spotlight on workplace stress and the devastating impact it can have on france telecom employees protest against work conditions following,suicides among france telecom employees since the beginning of
60850,selfie is the word du and it became cause celebre at nelson funeral when the danish prime minister helle took selfie with president barack obama and uk prime minister david but there is no easy way to ask men and women who hold high and who have matters of state on their you mind if take quick,selfie is the word du jour and became cause celebre during nelson funeral
45209,an explosive century from birthday boy ross taylor helped new zealand crush pakistan by runs and go top of their group at the cricket world taylor hit an unbeaten off just balls as the kiwis smashed an incredible runs off the final five overs of their,new zealand beat pakistan by runs at the cricket world cup
66849,jose mourinho revealed that he will take time to learn about real madrid before deciding to make any major as he was unveiled as the spanish new coach on the has signed contract just two weeks after leading inter milan to success in the european champions league sealing an unprecedented treble for the italian club in his second season at the san,jose mourinho unveiled as real new signing contract
89763,april according to some william in nod to the enduring legacy years on from his as well as the theatrical here are few stages worth whether being performed or,national noh theatre has subtitling system for each seat that can be changed from japanese to english
11431,investigators believe the suspected gunman in last massacre at fort hood acted but his communications had been flagged by intelligence agencies in late the fbi said the nidal malik remained in intensive care at brooke army medical center in san in statement issued monday the fbi said its investigation so far that the alleged gunman acted alone and was not part of broader terrorist,probe so far shows fort hood attack part of broader terrorist plot
63231,an irish atheist group has published series of quotations on religion in an attempt to challenge blasphemy law that went into effect on new the quotations include the words of mark salman rushdie and,making blasphemy crime punishable by came into effect january
36780,fifa president sepp blatter told cnn wednesday that racism was not problem in remarks which caused stir on the site blatter told cnn world sport anchor pedro pinto that players who have been abused should shake hands with their opponent upon the final whistle and move,footballers and journalists have reacted to sepp comments on racism
43105,usain bolt is officially the fastest man on the planet as he set new meters world record of seconds at an international meeting in new bolt served notice of his immense talent ahead of the beijing olympics by breaking the world,usain bolt sets world record of seconds in new york
32656,british singer amy winehouse has been charged with in connection with an incident last and will appear in court later this scotland yard said amy winehouse performs at last festival in,winehouse allegedly hit fan at charity ball in september
53110,german man who pleaded guilty to sexually abusing his stepdaughter and stepson was sentenced to more than years in prison court official the identified only as detlef was accused of hundreds of incidents of sexual abuse of his children between autumn and summer,there were allegations against detlef for more than officials say
12523,assertive and strong and these are the words we use when we think of our leaders the characteristics we look for when we elect vet ceos or select captains of sports,anna maria leadership traits include being strong and courageous
11665,testimony given by the director of the embattled secret service on tuesday appears to conflict with the news that broke hours after julia testimony that private security contractor with gun shared an elevator with president in violation of during his trip to the centers for disease control and prevention in atlanta two weeks in her testimony before the house committee on oversight and government pierson said she is responsible for briefing the president whenever there is serious breach of his or his when asked how many times she had to take such action in she said it was only after the september incident in which man armed with knife jumped the white house fence and made it into the east,believe the security was unnecessarily chaffetz says
89236,members of the military may get expedited treatment at airport security checkpoints under law signed tuesday by president the authored by chip requires the transportation security administration to study ways to speed up screening of service members to the extent their when the service members are in uniform and traveling on,new law requires the tsa to study ways of speeding screening of military personnel
20098,twitter has rolled out an update to its search tool that makes it easier to find new people to when you search for given topic on the microblogging get suggestions of people and accounts that tweet about that,twitter has updated its search tool to help users find people to follow
15928,been while since heard anything concrete on rumored but bloomberg now reports that apple has filed on june to trademark that name in this necessarily mean anything companies file for protective trademarks all the time but one more indication that apple is dabbling in wearable,apple has filed for trademark in japan
5371,the situation in syria is secretary of state hillary clinton said amid reports that president bashar government may be preparing to use chemical on the ground in syria are and we see that in many different the pressure against the regime in and around damascus seems to be clinton said before meeting with foreign minister and the special envoy to,at least people are killed across syria opposition activists say
60397,the man arrested at sandra home last week allegedly owns arsenal of that included half dozen illegal machine joshua who was charged with stalking burglarizing her home and possessing one illegal now faces much more serious according to the los angeles county district,police found the arsenal of weapons in search of joshua the da says
42509,elation over the first german victory in melbourne cup has been dampened by the death of two horses at the the race favorite admire rakti collapsed and died in his minutes after crossing the post in last,race admire rakti dies immediately after race
77202,host padma lakshmi is pregnant with her first her publicist confirmed to cnn on padma lakshmi will be eating for two on,lakshmi is expecting her first publicist confirms
671,if you like look away this article includes word count well in excess of what is normally,the international mango festival takes places every year in bringing together mango enthusiasts and experts
47748,former barclays ceo bob diamond has hit back at british lawmakers who suggested he misled them over concerns voiced by the financial cnn can also reveal that those very same regulators will now be called to testify next week alongside key barclays who diamond said had mistakenly told traders to lower their submissions to the london interbank offered rate or,bob comments made at hearing had had unfair upon his reputation
19756,for most european qualifying for the champions league is reason for great for arsene if his arsenal team can pull that off for successive then it will represent something of and strong vu from the last,arsene wenger praises attitude after claiming fourth place in epl
76467,the united states plans to appeal federal dismissal of charges against five blackwater security guards accused of killing people in baghdad in vice president joe biden announced speaking at joint appearance with iraqi president jalal talabani in biden said he was with the and that the justice department would file the appeal next,five blackwater security guards accused of killing people in baghdad in
112,ryan alexander reality tv contestant suspected in his was found hanging from coat rack in motel room in an apparent according to canadian police were hunting for ryan alexander jenkins after the death of jasmine,body of ryan jenkins found hanged in british columbia police say
84423,the george zimmerman investigation was hijacked number of by outside said the former police chief of bill who testified monday in murder told george howell in an exclusive interview that he felt pressure from city officials to arrest zimmerman to placate the public rather than as matter of,martin family attorney disputes rationale for his firing
8920,smoking in movies has not declined despite pledge two years ago by hollywood studios to encourage producers to show less according to an the american medical association alliance has been trying to get movie studios to make,american medical association alliance wants films with smoking to be rated
74491,john spinello created the game of nearly years since millions have attempted to remove small plastic body parts from cavity sam without lighting up his red nose and hearing that in weird twist of spinello now needs an operation himself one he according to crowdrise fundraiser launched by his,hasbro has offered to purchase john original prototype
38781,for national the present no longer means reveling in the legends of past stage the focus is on creating program as international and challenging as that of any major company on the the national ballet has been up and running since april it was given artistic autonomy within the existing structures of the teatr wielki in pushing out exciting new works and stage shows to wide,national ballet is going from strength to strength
61736,rebels in the central african republic who took over numerous towns and threatened to overrun the capital will be part of unity government under that embattled government spokesman said the apparent deal would appear to end violence that began last when the seleka rebel coalition launched an offensive as they demanded president francois bozize step down after accusing him of reneging on peace,central african republic rebels launched an offensive last upset at their president
70224,national guard members were on duty in on thanksgiving but the people who came up to them only wanted to spread bringing turkey and other cnn affiliate ksdk reported that dozens of citizens visited one post at shopping,volunteers bring turkey and other thanksgiving treats to national guard soldiers
1545,six survivors of the paris kosher supermarket siege in january are suing french media outlet for what they call dangerous live broadcasting during the according to paris spokeswoman agnes the lawsuit was filed march and preliminary investigation was opened by the office,six people taken hostage in kosher market siege say media outlet endangered their lives
59444,agents disrupted an iranian scheme targeting saudi ambassador to the united officials said elements of the iranian government directed the alleged attorney general eric holder,iranian iran rejects these fabricated and baseless
82065,panathinaikos sacked dutch coach henk ten cate on tuesday after the greek side lost the league leadership to arch rivals ten cate took over at the side last season as panathinaikos looked to end the dominance of who have won every greek championship bar one since,coach henk ten cate sacked by greek giants panathinaikos
